priority,days_until_deadline,hours_remaining_ratio,deadline_pressure,session_count,days_since_active,user_completion_rate,user_abandon_rate,category_completion_rate,avg_pauses_per_task,avg_effort_accuracy,avg_session_duration,label_at_risk
2,28.52,0.732,5.9866,6,9,0.156,0.0349,0.8662,4.8089,1.9161,2.4701,1
1,9.13,0.5248,4.3195,16,10,0.6119,0.0837,0.2921,2.9309,1.4121,94.2211,0
1,15.43,0.5924,0.4645,18,6,0.1705,0.039,0.9489,7.7251,2.1168,36.5537,0
2,3.66,0.4952,0.3439,13,0,0.2588,0.3975,0.3117,4.1605,1.5934,22.1825,0
4,23.25,0.9395,8.9483,13,14,0.9219,0.0531,0.196,0.3618,1.1507,46.6413,1
2,8.43,0.5427,1.4092,14,12,0.0746,0.5921,0.7722,1.5897,0.511,97.8554,1
3,21.87,0.7713,0.7404,6,9,0.1159,0.5179,0.6233,2.6472,0.6271,37.3179,1
3,26.62,0.4722,1.1959,13,2,0.7608,0.3368,0.771,3.9504,1.5455,51.3049,0
1,3.24,0.0314,6.3641,19,12,0.5086,0.5445,0.2493,3.2831,2.0111,27.4558,1
1,27.89,0.8081,6.334,5,11,0.8037,0.1119,0.8926,4.3147,2.1149,107.531,0
2,3.3,0.2279,4.2711,19,12,0.8607,0.0042,0.5107,3.3393,0.9442,14.3838,0
2,15.56,0.703,3.6363,16,9,0.9624,0.1511,0.4972,2.407,1.0697,4.4264,0
3,15.08,0.0515,2.7865,0,0,0.2396,0.0869,0.4895,7.8852,0.9841,80.6563,0
3,11.03,0.6323,6.3353,10,14,0.0903,0.5012,0.3208,1.4921,0.5816,70.9072,1
3,0.5,0.5121,2.265,6,3,0.9405,0.2385,0.5178,6.7017,1.8514,88.2259,0
3,6.86,0.175,9.8217,19,11,0.2608,0.5978,0.9654,4.4663,2.2653,22.6449,1
2,21.01,0.8467,8.5632,0,7,0.8509,0.5614,0.7853,5.3519,1.6614,44.6739,1
2,13.45,0.9945,1.7593,3,0,0.4939,0.1073,0.3665,5.9534,1.9419,36.9673,0
2,15.26,0.6363,2.5046,5,5,0.3931,0.5352,0.6311,6.3585,1.5053,69.2285,0
3,8.42,0.0243,6.4547,16,11,0.9405,0.5724,0.9149,2.9613,0.5309,111.3982,0
2,29.0,0.9636,8.5301,0,2,0.1695,0.3341,0.9362,5.5682,1.6401,11.6612,1
3,22.22,0.697,7.0248,15,6,0.2936,0.4856,0.8101,6.9366,2.3265,61.3611,1
2,23.95,0.65,7.0197,15,13,0.89,0.2028,0.3756,0.7519,1.6566,4.3131,1
2,17.72,0.0305,0.3735,5,14,0.3602,0.0762,0.5222,6.1599,0.9316,74.7469,0
1,1.55,0.5314,5.4064,7,3,0.1327,0.5817,0.7146,0.3285,1.2976,52.0225,0
1,2.43,0.4283,6.885,0,9,0.9152,0.2654,0.2398,0.751,0.8657,112.1537,1
3,15.5,0.6571,4.3567,2,11,0.566,0.0952,0.1202,2.735,0.6836,11.2988,1
2,13.94,0.6498,0.4806,4,3,0.0453,0.2248,0.6259,4.0251,2.213,79.0432,0
1,2.12,0.6424,0.2651,19,7,0.6772,0.344,0.1285,6.4896,2.1413,75.1128,0
2,8.22,0.2146,3.7726,18,1,0.683,0.0427,0.319,6.759,0.5465,97.7362,0
2,3.54,0.6967,6.2894,3,8,0.8035,0.1692,0.1774,6.0049,2.1137,118.8606,0
3,10.22,0.9308,8.5841,16,6,0.7509,0.4527,0.1031,7.2204,1.5105,99.1749,1
2,26.87,0.3892,0.1084,8,2,0.0913,0.1916,0.9501,7.6049,1.6469,75.8205,0
2,20.18,0.7524,7.9158,6,12,0.9309,0.5845,0.9959,0.447,1.9741,65.5099,1
3,29.06,0.688,8.3696,16,12,0.8385,0.2557,0.2226,3.1732,2.2838,17.5926,1
2,25.89,0.8804,2.3669,6,8,0.5919,0.2101,0.7082,3.8533,1.256,84.6101,0
2,9.91,0.4345,2.5368,17,11,0.5715,0.4446,0.7672,6.5823,1.9884,81.7247,0
2,2.49,0.5284,4.3634,11,12,0.9699,0.0259,0.8911,4.2216,2.4859,8.8556,0
2,29.08,0.5231,6.294,13,14,0.4545,0.3765,0.5843,7.2093,0.5909,33.7156,1
2,5.64,0.4637,3.5335,17,11,0.0777,0.5846,0.9862,5.5853,1.5722,37.1433,1
3,20.54,0.1626,9.1093,5,1,0.4166,0.3487,0.9192,0.662,2.2533,66.1905,0
3,14.41,0.9853,3.7674,16,12,0.0635,0.0221,0.1339,0.1094,0.6507,83.0057,1
2,22.5,0.9132,5.8515,4,9,0.8496,0.1484,0.4505,1.0333,2.4081,72.741,1
3,10.74,0.1136,6.7157,1,5,0.7723,0.3121,0.8522,4.4153,1.6219,105.1984,0
2,4.02,0.0288,7.5514,13,1,0.805,0.5419,0.6173,7.8437,1.7162,76.3973,0
3,16.42,0.4509,9.1047,9,2,0.6976,0.4779,0.4593,6.7367,2.0378,7.9483,1
1,18.62,0.3474,2.0913,10,10,0.0759,0.0773,0.128,1.2152,0.7777,76.905,0
3,14.22,0.6676,1.7232,18,2,0.8218,0.207,0.3476,0.2544,1.5974,64.1308,0
2,26.83,0.1287,3.301,8,9,0.7994,0.3767,0.0818,6.9886,2.3417,7.3294,0
3,5.54,0.2093,3.7047,13,9,0.76,0.3188,0.7205,0.4987,0.7955,15.974,0
3,25.33,0.7496,0.3047,17,9,0.3541,0.2383,0.1049,5.8992,0.8646,67.6758,0
2,14.22,0.3551,6.4882,17,14,0.5842,0.4421,0.5577,4.6923,1.6289,45.4527,1
2,26.99,0.6076,2.4435,12,5,0.6058,0.1423,0.1018,1.2229,0.9919,19.2818,0
1,26.9,0.0802,5.2451,7,4,0.9824,0.0672,0.3979,7.7558,2.231,98.0486,0
2,5.13,0.6686,9.2938,14,10,0.5716,0.168,0.7695,1.4963,1.1474,51.0524,0
